time_s,participant_1,participant_2,participant_3
1113.047,-112.3,-25.83,-77.28
1113.055,-72.61,-18.19,-66.24
1113.063,-87.21,-10.0,-62.2
1113.07,-93.94,-9.56,-64.35
1113.078,-36.49,-11.64,-63.36
1113.086,19.05,-13.5,-59.45
1113.093,11.96,-19.51,-57.9
1113.101,-12.97,-25.51,-57.25
1113.109,-2.64,-24.91,-56.14
1113.116,48.68,-22.08,-60.7
1113.124,127.36,-19.91,-73.88
1113.132,182.11,-13.0,-86.27
1113.14,160.42,24.54,-87.82
1113.147,106.26,194.76,-81.26
1113.155,106.55,586.77,-72.8
1113.163,152.19,970.56,-56.96
1113.17,136.5,875.4,-27.66
1113.178,177.03,287.88,0.92
1113.186,166.39,-179.55,6.63
1113.193,-26.96,-175.35,-9.89
1113.201,-168.97,-40.25,-28.03
1113.209,-162.71,-75.28,-35.93
1113.216,-114.4,-133.05,-38.16
1113.224,-178.72,-98.38,-38.52
1113.232,-296.23,-78.49,-33.34
1113.24,-322.57,-98.7,-28.23
1113.247,-262.19,-90.66,-34.11
1113.255,-203.51,-67.88,-27.65
1113.263,-170.69,-64.81,45.12
1113.27,-167.44,-62.24,251.74
1113.278,-190.13,-50.95,688.35
1113.286,-177.53,-44.1,1258.05
1113.293,-125.92,-37.18,1394.24
1113.301,-109.74,-21.77,650.88
1113.309,-96.26,-5.06,-369.58
1113.316,-19.76,6.86,-660.78
1113.324,26.55,19.47,-290.55
1113.332,-22.34,28.21,-67.76
1113.34,-52.75,31.0,-171.19
1113.347,-11.99,33.79,-148.92
1113.355,14.92,36.58,-73.66
1113.363,6.33,39.36,-96.69
1113.37,1.61,42.15,-98.64
1113.378,-2.34,44.94,-52.1
1113.386,-2.38,47.72,-41.43
1113.393,13.27,58.73,-47.02
1113.401,17.24,82.46,-27.63
1113.409,2.3,107.5,-6.68
1113.416,-2.74,132.92,7.04
1113.424,-6.94,150.49,27.59
1113.432,-35.1,157.15,51.03
1113.44,-64.38,161.76,76.73
1113.447,-72.71,169.04,114.63
1113.455,-77.76,172.07,159.33
1113.463,-72.29,166.35,196.64
1113.47,-34.31,152.34,225.85
1113.478,-8.2,126.38,254.42
1113.486,-23.21,90.32,281.46
1113.493,-15.49,57.31,298.59
1113.501,13.93,29.41,299.5
1113.509,-25.28,-5.36,281.07
1113.516,-85.53,-43.78,242.78
1113.524,-43.31,-70.67,188.35
1113.532,35.47,-88.51,120.14
1113.54,28.09,-107.32,41.03
1113.547,-3.44,-121.53,-31.65
1113.555,19.46,-124.66,-81.39
1113.563,28.74,-120.98,-119.44
1113.57,-18.62,-112.1,-159.65
1113.578,-65.49,-99.39,-190.3
1113.586,-79.87,-91.57,-205.78
1113.593,-29.02,-90.06,-220.31
1113.601,203.53,-85.96,-231.08
1113.609,703.83,-79.51,-221.61
1113.616,1309.83,-79.6,-195.12
1113.624,1510.68,-84.89,-164.73
1113.632,876.09,-84.99,-140.58
1113.64,-155.91,-77.66,-134.94
1113.647,-592.05,-71.14,-143.35
1113.655,-304.02,-72.05,-143.93
1113.663,-83.95,-78.29,-132.53
1113.67,-205.35,-81.24,-119.99
1113.678,-256.94,-76.44,-110.76
1113.686,-168.52,-71.79,-112.42
1113.693,-173.58,-73.96,-127.13
1113.701,-216.08,-74.99,-135.46
1113.709,-173.12,-70.91,-126.23
1113.716,-131.27,-70.84,-112.04
1113.724,-133.11,-72.03,-99.3
1113.732,-134.95,-62.61,-84.31
1113.74,-136.8,-52.54,-71.13
1113.747,-138.64,-58.25,-61.78
1113.755,-140.48,-67.85,-53.35
1113.763,-142.32,-61.78,-54.76
1113.77,-144.16,-47.45,-73.45
