pair,time_s,lag_s,r
p3p1,3330.8,80.0,0.5323
p3p1,3360.8,40.0,0.5288
p3p1,3390.8,40.0,0.4913
p3p1,3420.8,50.0,0.5028
p3p1,3450.8,40.0,0.5289
p3p1,3480.8,-90.0,0.5879
p3p1,3510.8,-70.0,0.5247
p3p1,3540.8,-70.0,0.5345
p3p1,3570.8,-20.0,-0.4811
p3p1,3600.8,-70.0,-0.4859
p3p1,3630.8,-70.0,-0.5101
p3p1,3660.8,80.0,-0.5223
p3p1,3690.8,10.0,0.4256
p3p1,3720.8,10.0,0.5098
p3p1,3750.8,10.0,0.7099
p3p1,3780.8,-20.0,-0.4373
p3p1,3810.8,90.0,-0.4613
p3p1,3840.8,60.0,0.5387
p3p1,3870.8,60.0,0.5295
p3p1,3900.8,-40.0,0.6338
p3p1,3930.8,-40.0,0.6285
p3p1,3960.8,0.0,-0.5547
p3p1,3990.8,0.0,-0.6322
p3p1,4020.8,0.0,-0.6096
p3p1,4050.8,0.0,-0.5633
p3p1,4080.8,-10.0,0.5029
p3p1,4110.8,30.0,-0.4837
p3p1,4140.8,30.0,-0.5583
p3p1,4170.8,20.0,-0.6052
p3p1,4200.8,-90.0,-0.5148
p3p1,4230.8,-40.0,0.5606
p3p1,4260.8,-40.0,0.5955
p3p1,4290.8,-40.0,0.5121
p3p1,4320.8,-40.0,0.4365
p3p1,4350.8,50.0,-0.5116
p3p1,4380.8,90.0,-0.4457
p3p1,4410.8,-30.0,0.4498
p3p1,4440.8,60.0,-0.4502
p3p1,4470.8,-40.0,0.4636
p3p1,4500.8,-90.0,-0.589
p3p1,4530.8,-90.0,-0.7667
p3p1,4560.8,-90.0,-0.7945
p3p1,4590.8,-90.0,-0.7926
p3p1,4620.8,70.0,-0.6365
p3p1,4650.8,-90.0,-0.602
p3p1,4680.8,70.0,-0.5663
p3p1,4710.8,-70.0,0.6367
p3p1,4740.8,-70.0,0.5884
p3p1,4770.8,0.0,-0.4637
p3p1,4800.8,-40.0,-0.5141
p3p1,4830.8,10.0,-0.6404
p3p1,4860.8,10.0,-0.5935
p3p1,4890.8,-50.0,-0.5783
p3p1,4920.8,-90.0,-0.5742
p3p1,4950.8,-90.0,-0.6578
p3p1,4980.8,-90.0,-0.7123
p3p1,5010.8,-90.0,-0.6817
p3p1,5040.8,-90.0,-0.6625
p3p1,5070.8,-90.0,-0.7152
p3p1,5100.8,-80.0,-0.4122
p3p1,5130.8,-70.0,0.5417
p3p1,5160.8,60.0,-0.5518
p3p1,5190.8,70.0,-0.5726
p3p1,5220.8,70.0,-0.6366
p3p1,5250.8,70.0,-0.4656
p3p1,5280.8,70.0,-0.3676
p3p1,5310.8,50.0,-0.326
p3p1,5340.8,-50.0,0.5485
p3p1,5370.8,-30.0,0.4876
p3p1,5400.8,70.0,0.4117
p3p1,5430.8,80.0,-0.3439
p3p1,5460.8,-10.0,-0.373
p3p1,5490.8,70.0,0.4101
p3p1,5520.8,-50.0,-0.4764
p3p1,5550.8,-20.0,-0.5358
p3p1,5580.8,-30.0,-0.5873
p3p1,5610.8,-50.0,-0.4736
p3p1,5640.8,-60.0,-0.4316
p3p1,5670.8,-50.0,-0.4266
p3p1,5700.8,-70.0,0.4267
p3p1,5730.8,-50.0,-0.4115
p3p1,5760.8,-50.0,-0.4637
p3p1,5790.8,-80.0,-0.4759
p3p1,5820.8,-70.0,0.4943
p3p1,5850.8,30.0,0.364
p3p1,5880.8,-60.0,-0.4599
p3p1,5910.8,-30.0,0.3299
